region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
10151,0.159375,4475.2843137254895,8333.539215686273,1.0,-0.236391,-0.071683,0.052866,-0.013355,0.0,0.0,0.005385,0.0,4,0.001346
10155,0.139375,-41673.48206278027,8565.522421524664,1.0,0.456876,-0.109576,-1.622906,,0.032034,0.0,0.0,,3,0.006407
10169,0.09375,20442.83333333333,8407.166666666664,1.0,0.418328,-0.09564,-0.163871,0.948384,0.029331,0.0,0.0,0.042722,4,0.020819
10189,0.109375,-42081.07142857143,8386.5,1.0,0.439971,-0.15227,-1.394711,,0.030848,0.0,0.0,,3,0.00617
10234,1.54625,-19072.003637833463,8546.8116410671,1.0,0.258571,-0.392975,0.616965,,0.01813,0.0,0.062847,,3,0.019338
10240,0.250625,39850.310473815465,8054.053615960103,1.0,0.220504,-0.149481,1.138831,,0.015461,0.0,0.116007,,3,0.032094
10250,0.399375,-41363.95852895149,8397.526604068858,1.0,0.168944,-0.088361,-0.789126,2.411996,0.011845,0.0,0.0,0.108654,4,0.040398
10264,0.29625,35762.0,8434.466244725743,1.0,,,0.313622,,,,0.031947,,1,0.007987
10385,0.103125,31987.378787878784,7993.227272727272,1.0,2.529687,,4.519608,,0.177368,,0.460391,,2,0.150571
10386,0.130625,33464.09330143541,8012.342105263153,1.0,0.987998,,,,0.069273,,,,1,0.013855
10387,0.08625,39275.58695652174,7904.485507246376,1.0,-0.309482,-0.1309,0.015722,-0.021431,0.0,0.0,0.001602,0.0,4,0.0004
10415,1.00375,-18362.984433374844,7827.352428393526,1.0,0.648041,,,,0.045437,,,,1,0.009087
10444,0.225625,-19165.389196675897,7586.303324099717,1.0,-0.212099,1.89103,,,0.0,0.267974,,,2,0.053595
10501,0.533125,25280.478898007044,7412.106096131298,1.0,,,,,,,,,0,0.0
10503,0.456875,32996.285225718195,7702.312585499319,1.0,,,,,,,,,0,0.0
10515,0.39125,25629.89137380192,7814.397763578272,0.8578,-0.008881,0.469168,,,0.0,0.066485,,,2,0.013297
10657,0.341875,-7972.712065813524,6969.42138939671,1.0,,,2.25272,,,,0.229474,,1,0.057368
10704,0.113125,25286.654696132595,6904.919889502766,1.0,,0.785564,-5.037397,,,0.111321,0.0,,2,0.022264
10718,0.269375,-44315.69721577726,6758.098607888634,1.0,0.142215,-0.054647,-0.028571,,0.009971,0.0,0.0,,3,0.001994
10753,0.55875,19242.900447427288,7314.314317673379,0.8389,,,,,,,,,0,0.0
10761,0.1625,-34628.480769230766,6966.653846153844,1.0,-0.08948,-0.076629,-0.033909,0.069254,0.0,0.0,0.0,0.00312,4,0.001092
10771,0.264375,43738.68439716313,7187.970449172579,1.0,1.183945,,,,0.083012,,,,1,0.016602
10790,0.12,43503.66666666666,6918.9895833333285,1.0,,,8.620017,,,,0.87808,,1,0.21952
10803,1.135,33238.61068281939,6418.313876651984,0.9626,1.855033,,,,0.130065,,,,1,0.026013
10806,0.458125,-25301.01159618008,6690.745566166443,1.0,,0.652052,1.311752,,,0.092401,0.133622,,2,0.051886
10854,0.08125,36614.884615384624,6922.807692307695,1.0,3.897822,,,0.067315,0.273294,,,0.003032,2,0.05572
10934,0.768125,32244.8213995118,6662.176159479255,0.9577,,,,,,,,,0,0.0
10986,0.163125,26303.52298850575,6604.714559386972,0.9272,0.124469,-0.025462,-0.030777,0.031458,0.008727,0.0,0.0,0.001417,4,0.002241
10987,0.125625,33684.57462686568,6379.604477611938,1.0,14.262354,,1.699151,0.944166,1.0,,0.173084,0.042532,3,0.258157
11002,0.375625,-24040.59983361065,6500.832778702163,1.0,,0.839769,2.580821,,,0.119002,0.262896,,2,0.089524
11008,0.205,39604.75914634146,6295.850609756097,1.0,,,,,,,,,0,0.0
11029,0.445625,31091.330294530155,6217.154978962135,1.0,,1.410019,,,,0.199811,,,1,0.039962
11054,0.096875,37965.467741935485,6221.629032258061,1.0,1.155123,,,,0.080991,,,,1,0.016198
